uuid,scenario,round,profile,trust,ethnicity,age,class,education,sex,choice,selected
uuid:649a71ae-02ba-4d36-9c7f-e2ffa7b08dd5,1,1,A,5,Croat,67,Middle,None,Male,B,0
uuid:649a71ae-02ba-4d36-9c7f-e2ffa7b08dd5,1,1,B,5,Bosniak,49,Upper,Primary school,Female,B,1
uuid:649a71ae-02ba-4d36-9c7f-e2ffa7b08dd5,1,2,A,4,Bosniak,67,Middle,Primary school,Male,A,1
uuid:649a71ae-02ba-4d36-9c7f-e2ffa7b08dd5,1,2,B,4,Serb,67,Upper,University,Male,A,0
uuid:649a71ae-02ba-4d36-9c7f-e2ffa7b08dd5,1,3,A,4,Bosniak,67,Upper,University,Male,A,1
uuid:649a71ae-02ba-4d36-9c7f-e2ffa7b08dd5,1,3,B,4,Croat,67,Middle,Primary school,Male,A,0
uuid:649a71ae-02ba-4d36-9c7f-e2ffa7b08dd5,2,1,A,5,Croat,67,Lower,Primary school,Female,A,1
uuid:649a71ae-02ba-4d36-9c7f-e2ffa7b08dd5,2,1,B,4,Croat,49,Upper,University,Male,A,0
uuid:649a71ae-02ba-4d36-9c7f-e2ffa7b08dd5,2,2,A,4,Serb,23,Upper,University,Female,A,1
uuid:649a71ae-02ba-4d36-9c7f-e2ffa7b08dd5,2,2,B,3,Bosniak,67,Middle,University,Male,A,0
uuid:649a71ae-02ba-4d36-9c7f-e2ffa7b08dd5,2,3,A,5,Bosniak,67,Lower,University,Female,B,0
uuid:649a71ae-02ba-4d36-9c7f-e2ffa7b08dd5,2,3,B,5,Bosniak,23,Upper,None,Female,B,1
uuid:39e2501c-7324-48ce-8564-61db1366c4e1,1,1,A,4,Bosniak,49,Upper,University,Male,A,1
uuid:39e2501c-7324-48ce-8564-61db1366c4e1,1,1,B,5,Bosniak,67,Upper,University,Male,A,0
uuid:39e2501c-7324-48ce-8564-61db1366c4e1,1,2,A,4,Serb,49,Lower,Primary school,Male,B,0
uuid:39e2501c-7324-48ce-8564-61db1366c4e1,1,2,B,5,Bosniak,49,Lower,None,Male,B,1
uuid:39e2501c-7324-48ce-8564-61db1366c4e1,1,3,A,5,Bosniak,67,Lower,Primary school,Male,A,1
uuid:39e2501c-7324-48ce-8564-61db1366c4e1,1,3,B,4,Croat,67,Upper,None,Female,A,0
uuid:39e2501c-7324-48ce-8564-61db1366c4e1,2,1,A,5,Bosniak,49,Middle,Primary school,Male,A,1
uuid:39e2501c-7324-48ce-8564-61db1366c4e1,2,1,B,5,Bosniak,49,Lower,None,Female,A,0
uuid:39e2501c-7324-48ce-8564-61db1366c4e1,2,2,A,4,Croat,49,Lower,University,Male,B,0
uuid:39e2501c-7324-48ce-8564-61db1366c4e1,2,2,B,5,Croat,23,Upper,Primary school,Female,B,1
uuid:39e2501c-7324-48ce-8564-61db1366c4e1,2,3,A,5,Croat,67,Lower,None,Female,A,1
uuid:39e2501c-7324-48ce-8564-61db1366c4e1,2,3,B,5,Serb,23,Lower,University,Female,A,0
uuid:f0eff44e-a8f9-4440-899a-b2ee4c4e981e,1,1,A,4,Serb,67,Lower,University,Female,A,1
uuid:f0eff44e-a8f9-4440-899a-b2ee4c4e981e,1,1,B,3,Serb,49,Upper,None,Male,A,0
uuid:f0eff44e-a8f9-4440-899a-b2ee4c4e981e,1,2,A,4,Serb,67,Upper,University,Male,B,0
uuid:f0eff44e-a8f9-4440-899a-b2ee4c4e981e,1,2,B,4,Croat,23,Middle,University,Male,B,1
uuid:f0eff44e-a8f9-4440-899a-b2ee4c4e981e,1,3,A,3,Croat,67,Middle,None,Male,B,0
uuid:f0eff44e-a8f9-4440-899a-b2ee4c4e981e,1,3,B,3,Croat,49,Upper,None,Male,B,1
uuid:f0eff44e-a8f9-4440-899a-b2ee4c4e981e,2,1,A,3,Bosniak,67,Lower,Primary school,Male,A,1
uuid:f0eff44e-a8f9-4440-899a-b2ee4c4e981e,2,1,B,3,Croat,67,Upper,None,Female,A,0
uuid:f0eff44e-a8f9-4440-899a-b2ee4c4e981e,2,2,A,3,Croat,23,Upper,None,Male,B,0
uuid:f0eff44e-a8f9-4440-899a-b2ee4c4e981e,2,2,B,3,Serb,49,Lower,University,Male,B,1
uuid:f0eff44e-a8f9-4440-899a-b2ee4c4e981e,2,3,A,3,Croat,49,Middle,Primary school,Female,B,0
uuid:f0eff44e-a8f9-4440-899a-b2ee4c4e981e,2,3,B,5,Bosniak,49,Middle,None,Female,B,1
uuid:728d8a9c-fe06-484d-a13c-4c480aafba12,1,1,A,4,Croat,23,Middle,University,Female,A,1
uuid:728d8a9c-fe06-484d-a13c-4c480aafba12,1,1,B,3,Croat,23,Lower,None,Male,A,0
uuid:728d8a9c-fe06-484d-a13c-4c480aafba12,1,2,A,3,Croat,49,Middle,Primary school,Male,A,1
uuid:728d8a9c-fe06-484d-a13c-4c480aafba12,1,2,B,4,Croat,23,Middle,University,Male,A,0
uuid:728d8a9c-fe06-484d-a13c-4c480aafba12,1,3,A,4,Bosniak,67,Upper,University,Male,A,1
uuid:728d8a9c-fe06-484d-a13c-4c480aafba12,1,3,B,4,Croat,23,Upper,University,Male,A,0
uuid:728d8a9c-fe06-484d-a13c-4c480aafba12,2,1,A,4,Serb,49,Middle,None,Male,A,1
uuid:728d8a9c-fe06-484d-a13c-4c480aafba12,2,1,B,4,Serb,49,Lower,Primary school,Male,A,0
uuid:728d8a9c-fe06-484d-a13c-4c480aafba12,2,2,A,4,Serb,23,Upper,University,Female,B,0
uuid:728d8a9c-fe06-484d-a13c-4c480aafba12,2,2,B,4,Bosniak,23,Upper,Primary school,Female,B,1
uuid:728d8a9c-fe06-484d-a13c-4c480aafba12,2,3,A,4,Croat,49,Middle,Primary school,Male,B,0
uuid:728d8a9c-fe06-484d-a13c-4c480aafba12,2,3,B,4,Bosniak,23,Upper,None,Female,B,1
uuid:5a2f6e79-e8e0-4266-bfbb-acfdc89c6fc3,1,1,A,4,Croat,23,Lower,None,Male,B,0
uuid:5a2f6e79-e8e0-4266-bfbb-acfdc89c6fc3,1,1,B,4,Croat,23,Middle,University,Female,B,1
uuid:5a2f6e79-e8e0-4266-bfbb-acfdc89c6fc3,1,2,A,4,Croat,49,Middle,University,Female,A,1
uuid:5a2f6e79-e8e0-4266-bfbb-acfdc89c6fc3,1,2,B,3,Serb,49,Upper,Primary school,Male,A,0
uuid:5a2f6e79-e8e0-4266-bfbb-acfdc89c6fc3,1,3,A,4,Serb,49,Upper,None,Female,B,0
uuid:5a2f6e79-e8e0-4266-bfbb-acfdc89c6fc3,1,3,B,5,Serb,67,Upper,University,Female,B,1
uuid:5a2f6e79-e8e0-4266-bfbb-acfdc89c6fc3,2,1,A,3,Croat,67,Lower,University,Male,B,0
uuid:5a2f6e79-e8e0-4266-bfbb-acfdc89c6fc3,2,1,B,4,Bosniak,23,Upper,None,Female,B,1
uuid:5a2f6e79-e8e0-4266-bfbb-acfdc89c6fc3,2,2,A,3,Serb,67,Middle,None,Male,B,0
uuid:5a2f6e79-e8e0-4266-bfbb-acfdc89c6fc3,2,2,B,4,Serb,23,Lower,Primary school,Female,B,1
uuid:5a2f6e79-e8e0-4266-bfbb-acfdc89c6fc3,2,3,A,4,Serb,67,Lower,Primary school,Female,A,1
uuid:5a2f6e79-e8e0-4266-bfbb-acfdc89c6fc3,2,3,B,3,Bosniak,49,Lower,None,Male,A,0
uuid:2360959f-57c0-4530-9d21-023c2bf27f3a,1,1,A,5,Croat,49,Lower,University,Female,B,0
uuid:2360959f-57c0-4530-9d21-023c2bf27f3a,1,1,B,4,Bosniak,67,Upper,None,Female,B,1
uuid:2360959f-57c0-4530-9d21-023c2bf27f3a,1,2,A,4,Croat,67,Lower,University,Male,B,0
uuid:2360959f-57c0-4530-9d21-023c2bf27f3a,1,2,B,5,Serb,67,Upper,None,Female,B,1
uuid:2360959f-57c0-4530-9d21-023c2bf27f3a,1,3,A,5,Serb,49,Lower,None,Female,A,1
uuid:2360959f-57c0-4530-9d21-023c2bf27f3a,1,3,B,5,Croat,23,Lower,University,Female,A,0
uuid:2360959f-57c0-4530-9d21-023c2bf27f3a,2,1,A,3,Croat,23,Lower,None,Female,B,0
uuid:2360959f-57c0-4530-9d21-023c2bf27f3a,2,1,B,4,Bosniak,23,Lower,Primary school,Male,B,1
uuid:2360959f-57c0-4530-9d21-023c2bf27f3a,2,2,A,4,Bosniak,67,Lower,Primary school,Female,B,0
uuid:2360959f-57c0-4530-9d21-023c2bf27f3a,2,2,B,5,Bosniak,67,Upper,University,Female,B,1
uuid:2360959f-57c0-4530-9d21-023c2bf27f3a,2,3,A,4,Croat,23,Lower,None,Female,A,1
uuid:2360959f-57c0-4530-9d21-023c2bf27f3a,2,3,B,3,Bosniak,49,Upper,University,Male,A,0
uuid:b31c1a3d-a5f3-4abb-8c2a-d69aa58c9066,1,1,A,3,Bosniak,23,Middle,None,Male,A,1
uuid:b31c1a3d-a5f3-4abb-8c2a-d69aa58c9066,1,1,B,3,Serb,23,Upper,University,Female,A,0
uuid:b31c1a3d-a5f3-4abb-8c2a-d69aa58c9066,1,2,A,3,Croat,67,Upper,University,Female,B,0
uuid:b31c1a3d-a5f3-4abb-8c2a-d69aa58c9066,1,2,B,3,Serb,23,Lower,Primary school,Female,B,1
uuid:b31c1a3d-a5f3-4abb-8c2a-d69aa58c9066,1,3,A,3,Bosniak,67,Upper,None,Female,A,1
uuid:b31c1a3d-a5f3-4abb-8c2a-d69aa58c9066,1,3,B,3,Serb,49,Lower,University,Male,A,0
uuid:b31c1a3d-a5f3-4abb-8c2a-d69aa58c9066,2,1,A,3,Serb,67,Lower,None,Female,A,1
uuid:b31c1a3d-a5f3-4abb-8c2a-d69aa58c9066,2,1,B,4,Serb,49,Upper,None,Male,A,0
uuid:b31c1a3d-a5f3-4abb-8c2a-d69aa58c9066,2,2,A,3,Croat,23,Middle,University,Female,A,1
uuid:b31c1a3d-a5f3-4abb-8c2a-d69aa58c9066,2,2,B,3,Bosniak,67,Middle,Primary school,Female,A,0
uuid:b31c1a3d-a5f3-4abb-8c2a-d69aa58c9066,2,3,A,3,Bosniak,23,Upper,Primary school,Male,B,0
uuid:b31c1a3d-a5f3-4abb-8c2a-d69aa58c9066,2,3,B,3,Croat,67,Lower,University,Female,B,1
uuid:2db0fb76-a4ed-42a8-bc77-e890f6f6b39b,1,1,A,4,Serb,49,Upper,Primary school,Male,B,0
uuid:2db0fb76-a4ed-42a8-bc77-e890f6f6b39b,1,1,B,4,Croat,23,Lower,Primary school,Female,B,1
uuid:2db0fb76-a4ed-42a8-bc77-e890f6f6b39b,1,2,A,5,Croat,23,Upper,University,Female,A,1
uuid:2db0fb76-a4ed-42a8-bc77-e890f6f6b39b,1,2,B,5,Serb,23,Upper,University,Male,A,0
uuid:2db0fb76-a4ed-42a8-bc77-e890f6f6b39b,1,3,A,5,Bosniak,49,Upper,Primary school,Male,A,1
uuid:2db0fb76-a4ed-42a8-bc77-e890f6f6b39b,1,3,B,5,Bosniak,23,Lower,Primary school,Male,A,0
uuid:2db0fb76-a4ed-42a8-bc77-e890f6f6b39b,2,1,A,5,Bosniak,49,Upper,Primary school,Female,A,1
uuid:2db0fb76-a4ed-42a8-bc77-e890f6f6b39b,2,1,B,5,Serb,49,Lower,Primary school,Female,A,0
uuid:2db0fb76-a4ed-42a8-bc77-e890f6f6b39b,2,2,A,4,Bosniak,23,Lower,University,Male,B,0
uuid:2db0fb76-a4ed-42a8-bc77-e890f6f6b39b,2,2,B,5,Bosniak,49,Middle,University,Female,B,1
uuid:2db0fb76-a4ed-42a8-bc77-e890f6f6b39b,2,3,A,5,Bosniak,49,Lower,None,Female,A,1
uuid:2db0fb76-a4ed-42a8-bc77-e890f6f6b39b,2,3,B,4,Croat,49,Middle,Primary school,Male,A,0
uuid:a5e0fa35-058a-419b-b308-1f8ce16a8c5c,1,1,A,4,Croat,23,Middle,University,Male,B,0
uuid:a5e0fa35-058a-419b-b308-1f8ce16a8c5c,1,1,B,4,Bosniak,23,Middle,University,Male,B,1
uuid:a5e0fa35-058a-419b-b308-1f8ce16a8c5c,1,2,A,4,Serb,49,Lower,University,Female,A,1
uuid:a5e0fa35-058a-419b-b308-1f8ce16a8c5c,1,2,B,4,Serb,49,Lower,Primary school,Female,A,0
uuid:a5e0fa35-058a-419b-b308-1f8ce16a8c5c,1,3,A,4,Croat,49,Middle,None,Female,A,1
uuid:a5e0fa35-058a-419b-b308-1f8ce16a8c5c,1,3,B,4,Croat,67,Lower,University,Male,A,0
uuid:a5e0fa35-058a-419b-b308-1f8ce16a8c5c,2,1,A,4,Croat,49,Middle,Primary school,Male,B,0
uuid:a5e0fa35-058a-419b-b308-1f8ce16a8c5c,2,1,B,4,Bosniak,67,Lower,Primary school,Female,B,1
uuid:a5e0fa35-058a-419b-b308-1f8ce16a8c5c,2,2,A,4,Bosniak,23,Upper,None,Female,A,1
uuid:a5e0fa35-058a-419b-b308-1f8ce16a8c5c,2,2,B,4,Croat,49,Middle,None,Female,A,0
uuid:a5e0fa35-058a-419b-b308-1f8ce16a8c5c,2,3,A,4,Croat,49,Upper,Primary school,Female,A,1
uuid:a5e0fa35-058a-419b-b308-1f8ce16a8c5c,2,3,B,4,Bosniak,49,Middle,None,Male,A,0
uuid:f76fab76-db79-481d-bc75-d3802f3e3940,1,1,A,5,Bosniak,23,Upper,University,Female,A,1
uuid:f76fab76-db79-481d-bc75-d3802f3e3940,1,1,B,4,Serb,49,Lower,None,Male,A,0
uuid:f76fab76-db79-481d-bc75-d3802f3e3940,1,2,A,3,Serb,23,Lower,University,Male,B,0
uuid:f76fab76-db79-481d-bc75-d3802f3e3940,1,2,B,5,Serb,23,Lower,None,Female,B,1
uuid:f76fab76-db79-481d-bc75-d3802f3e3940,1,3,A,5,Bosniak,23,Upper,University,Female,A,1
uuid:f76fab76-db79-481d-bc75-d3802f3e3940,1,3,B,4,Serb,23,Middle,University,Male,A,0
uuid:f76fab76-db79-481d-bc75-d3802f3e3940,2,1,A,4,Croat,67,Lower,University,Male,B,0
uuid:f76fab76-db79-481d-bc75-d3802f3e3940,2,1,B,5,Croat,23,Lower,University,Female,B,1
uuid:f76fab76-db79-481d-bc75-d3802f3e3940,2,2,A,4,Bosniak,49,Middle,Primary school,Male,B,0
uuid:f76fab76-db79-481d-bc75-d3802f3e3940,2,2,B,4,Bosniak,49,Upper,University,Male,B,1
uuid:f76fab76-db79-481d-bc75-d3802f3e3940,2,3,A,5,Croat,23,Middle,University,Female,A,1
uuid:f76fab76-db79-481d-bc75-d3802f3e3940,2,3,B,4,Serb,49,Middle,University,Male,A,0
uuid:632d9ac5-fe79-4188-8d00-7a556a9f5cf9,1,1,A,3,Serb,67,Middle,University,Female,B,0
uuid:632d9ac5-fe79-4188-8d00-7a556a9f5cf9,1,1,B,4,Bosniak,23,Lower,Primary school,Male,B,1
uuid:632d9ac5-fe79-4188-8d00-7a556a9f5cf9,2,3,A,4,Bosniak,49,Upper,University,Male,A,1
uuid:632d9ac5-fe79-4188-8d00-7a556a9f5cf9,2,3,B,3,Croat,49,Middle,Primary school,Female,A,0
uuid:40e7d8e2-2d3d-4f32-9c9c-b4be3e304723,1,1,A,5,Serb,49,Upper,Primary school,Male,B,0
uuid:40e7d8e2-2d3d-4f32-9c9c-b4be3e304723,1,1,B,5,Croat,23,Upper,Primary school,Male,B,1
uuid:40e7d8e2-2d3d-4f32-9c9c-b4be3e304723,1,2,A,4,Bosniak,67,Upper,Primary school,Male,B,0
uuid:40e7d8e2-2d3d-4f32-9c9c-b4be3e304723,1,2,B,5,Bosniak,23,Lower,University,Male,B,1
uuid:40e7d8e2-2d3d-4f32-9c9c-b4be3e304723,1,3,A,4,Serb,67,Upper,Primary school,Female,B,0
uuid:40e7d8e2-2d3d-4f32-9c9c-b4be3e304723,1,3,B,5,Croat,67,Middle,University,Female,B,1
uuid:40e7d8e2-2d3d-4f32-9c9c-b4be3e304723,2,1,A,5,Bosniak,67,Lower,University,Female,A,1
uuid:40e7d8e2-2d3d-4f32-9c9c-b4be3e304723,2,1,B,5,Bosniak,23,Middle,Primary school,Female,A,0
uuid:40e7d8e2-2d3d-4f32-9c9c-b4be3e304723,2,2,A,4,Croat,49,Lower,Primary school,Female,B,0
uuid:40e7d8e2-2d3d-4f32-9c9c-b4be3e304723,2,2,B,5,Croat,23,Lower,None,Female,B,1
uuid:40e7d8e2-2d3d-4f32-9c9c-b4be3e304723,2,3,A,4,Bosniak,67,Middle,University,Female,A,1
uuid:40e7d8e2-2d3d-4f32-9c9c-b4be3e304723,2,3,B,4,Serb,49,Lower,None,Male,A,0
uuid:8bb15f88-8548-49b7-88bc-4802fdf12412,1,1,A,4,Croat,49,Upper,None,Female,A,1
uuid:8bb15f88-8548-49b7-88bc-4802fdf12412,1,1,B,4,Serb,67,Upper,None,Female,A,0
uuid:8bb15f88-8548-49b7-88bc-4802fdf12412,1,2,A,3,Serb,67,Lower,Primary school,Male,B,0
uuid:8bb15f88-8548-49b7-88bc-4802fdf12412,1,2,B,4,Serb,67,Middle,University,Female,B,1
uuid:8bb15f88-8548-49b7-88bc-4802fdf12412,1,3,A,4,Croat,67,Middle,None,Female,B,0
uuid:8bb15f88-8548-49b7-88bc-4802fdf12412,1,3,B,4,Croat,23,Lower,University,Female,B,1
uuid:8bb15f88-8548-49b7-88bc-4802fdf12412,2,1,A,3,Croat,23,Middle,University,Female,A,1
uuid:8bb15f88-8548-49b7-88bc-4802fdf12412,2,1,B,3,Serb,23,Lower,Primary school,Male,A,0
uuid:8bb15f88-8548-49b7-88bc-4802fdf12412,2,2,A,3,Bosniak,49,Lower,Primary school,Male,A,1
uuid:8bb15f88-8548-49b7-88bc-4802fdf12412,2,2,B,3,Serb,23,Lower,None,Female,A,0
uuid:8bb15f88-8548-49b7-88bc-4802fdf12412,2,3,A,3,Bosniak,67,Lower,University,Male,A,1
uuid:8bb15f88-8548-49b7-88bc-4802fdf12412,2,3,B,3,Croat,67,Lower,Primary school,Male,A,0
uuid:b961fb16-1b8b-41d8-aa57-98ad345cf958,1,1,A,6,Bosniak,67,Upper,Primary school,Female,A,1
uuid:b961fb16-1b8b-41d8-aa57-98ad345cf958,1,1,B,6,Serb,67,Lower,Primary school,Male,A,0
uuid:b961fb16-1b8b-41d8-aa57-98ad345cf958,1,2,A,5,Croat,49,Middle,None,Female,A,1
uuid:b961fb16-1b8b-41d8-aa57-98ad345cf958,1,2,B,5,Serb,23,Upper,Primary school,Female,A,0
uuid:8d1b44b5-73b8-4578-bdae-db85554e6113,1,1,A,2,Serb,67,Upper,Primary school,Male,B,0
uuid:8d1b44b5-73b8-4578-bdae-db85554e6113,1,1,B,3,Serb,67,Upper,University,Female,B,1
uuid:8d1b44b5-73b8-4578-bdae-db85554e6113,1,2,A,2,Bosniak,49,Middle,University,Male,B,0
uuid:8d1b44b5-73b8-4578-bdae-db85554e6113,1,2,B,3,Bosniak,67,Middle,None,Male,B,1
uuid:8d1b44b5-73b8-4578-bdae-db85554e6113,1,3,A,3,Serb,67,Upper,Primary school,Female,A,1
uuid:8d1b44b5-73b8-4578-bdae-db85554e6113,1,3,B,2,Serb,67,Upper,None,Male,A,0
uuid:8d1b44b5-73b8-4578-bdae-db85554e6113,2,1,A,3,Bosniak,67,Upper,University,Male,A,1
uuid:8d1b44b5-73b8-4578-bdae-db85554e6113,2,1,B,3,Croat,23,Middle,None,Female,A,0
uuid:8d1b44b5-73b8-4578-bdae-db85554e6113,2,2,A,4,Bosniak,23,Upper,University,Male,A,1
uuid:8d1b44b5-73b8-4578-bdae-db85554e6113,2,2,B,3,Serb,67,Lower,None,Female,A,0
uuid:8d1b44b5-73b8-4578-bdae-db85554e6113,2,3,A,4,Croat,67,Upper,None,Female,A,1
uuid:8d1b44b5-73b8-4578-bdae-db85554e6113,2,3,B,2,Serb,67,Middle,Primary school,Male,A,0
uuid:14aa9884-cc16-40e0-9844-7617771cf88e,1,1,A,4,Croat,23,Middle,Primary school,Male,B,0
uuid:14aa9884-cc16-40e0-9844-7617771cf88e,1,1,B,4,Serb,23,Lower,Primary school,Female,B,1
uuid:14aa9884-cc16-40e0-9844-7617771cf88e,1,2,A,3,Croat,23,Middle,None,Female,B,0
uuid:14aa9884-cc16-40e0-9844-7617771cf88e,1,2,B,4,Bosniak,49,Middle,None,Female,B,1
uuid:14aa9884-cc16-40e0-9844-7617771cf88e,1,3,A,4,Bosniak,23,Upper,University,Male,A,1
uuid:14aa9884-cc16-40e0-9844-7617771cf88e,1,3,B,2,Croat,67,Middle,University,Male,A,0
uuid:14aa9884-cc16-40e0-9844-7617771cf88e,2,1,A,4,Bosniak,23,Upper,Primary school,Female,A,1
uuid:14aa9884-cc16-40e0-9844-7617771cf88e,2,1,B,2,Bosniak,49,Lower,None,Male,A,0
